RCV_ID	RCV_NAME	GO_ID	GO_NAME
RCV_000009	DNA repair	GO_0000730	DNA recombinase assembly
RCV_000009	DNA repair	GO_0034624	DNA recombinase assembly involved in gene conversion at mating-type locus
RCV_000009	DNA repair	GO_0006281	DNA repair
RCV_000009	DNA repair	GO_1990391	DNA repair complex
RCV_000009	DNA repair	GO_0045004	DNA replication proofreading
RCV_000009	DNA repair	GO_0061306	DNA strand renaturation involved in double-strand break repair
RCV_000009	DNA repair	GO_0000731	DNA synthesis involved in DNA repair
RCV_000009	DNA repair	GO_0043150	DNA synthesis involved in double-strand break repair via homologous recombination
RCV_000009	DNA repair	GO_0043151	DNA synthesis involved in double-strand break repair via single-strand annealing
RCV_000009	DNA repair	GO_0005958	DNA-dependent protein kinase-DNA ligase 4 complex
RCV_000009	DNA repair	GO_0070912	Ddb1-Ckn1 complex
RCV_000009	DNA repair	GO_0070913	Ddb1-Wdr21 complex
RCV_000009	DNA repair	GO_0070522	ERCC4-ERCC1 complex
RCV_000009	DNA repair	GO_0070420	Ku-DNA ligase complex
RCV_000009	DNA repair	GO_0032389	MutLalpha complex
RCV_000009	DNA repair	GO_0032390	MutLbeta complex
RCV_000009	DNA repair	GO_0097587	MutLgamma complex
RCV_000009	DNA repair	GO_0032301	MutSalpha complex
RCV_000009	DNA repair	GO_0032302	MutSbeta complex
RCV_000009	DNA repair	GO_0070312	RAD52-ERCC4-ERCC1 complex
RCV_000009	DNA repair	GO_0097196	Shu complex
RCV_000009	DNA repair	GO_0070914	UV-damage excision repair
RCV_000009	DNA repair	GO_0071942	XPC complex
RCV_000009	DNA repair	GO_0006284	base-excision repair
RCV_000009	DNA repair	GO_0006285	base-excision repair, AP site formation
RCV_000009	DNA repair	GO_0097510	base-excision repair, AP site formation via deaminated base removal
RCV_000009	DNA repair	GO_0006288	base-excision repair, DNA ligation
RCV_000009	DNA repair	GO_0006286	base-excision repair, base-free sugar-phosphate removal
RCV_000009	DNA repair	GO_0006287	base-excision repair, gap-filling
RCV_000009	DNA repair	GO_0045007	depurination
RCV_000009	DNA repair	GO_0045008	depyrimidination
RCV_000009	DNA repair	GO_0006302	double-strand break repair
RCV_000009	DNA repair	GO_0000727	double-strand break repair via break-induced replication
RCV_000009	DNA repair	GO_0000724	double-strand break repair via homologous recombination
RCV_000009	DNA repair	GO_0006303	double-strand break repair via nonhomologous end joining
RCV_000009	DNA repair	GO_0045002	double-strand break repair via single-strand annealing
RCV_000009	DNA repair	GO_0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends
RCV_000009	DNA repair	GO_0045003	double-strand break repair via synthesis-dependent strand annealing
RCV_000009	DNA repair	GO_0042139	early meiotic recombination nodule assembly
RCV_000009	DNA repair	GO_0042275	error-free postreplication DNA repair
RCV_000009	DNA repair	GO_0070987	error-free translesion synthesis
RCV_000009	DNA repair	GO_0042276	error-prone translesion synthesis
RCV_000009	DNA repair	GO_0009380	excinuclease repair complex
RCV_000009	DNA repair	GO_0031292	gene conversion at mating-type locus, DNA double-strand break processing
RCV_000009	DNA repair	GO_0000734	gene conversion at mating-type locus, DNA repair synthesis
RCV_000009	DNA repair	GO_0070911	global genome nucleotide-excision repair
RCV_000009	DNA repair	GO_0010709	heteroduplex formation involved in double-strand break repair via synthesis-dependent strand annealing
RCV_000009	DNA repair	GO_0097044	histone H3-K56 acetylation in response to DNA damage
RCV_000009	DNA repair	GO_2000776	histone H4 acetylation involved in response to DNA damage stimulus
RCV_000009	DNA repair	GO_0036297	interstrand cross-link repair
RCV_000009	DNA repair	GO_0042140	late meiotic recombination nodule assembly
RCV_000009	DNA repair	GO_0000706	meiotic DNA double-strand break processing
RCV_000009	DNA repair	GO_0010704	meiotic DNA double-strand break processing involved in meiotic gene conversion
RCV_000009	DNA repair	GO_0010705	meiotic DNA double-strand break processing involved in reciprocal meiotic recombination
RCV_000009	DNA repair	GO_0000707	meiotic DNA recombinase assembly
RCV_000009	DNA repair	GO_0010773	meiotic DNA recombinase assembly involved in meiotic gene conversion
RCV_000009	DNA repair	GO_0010772	meiotic DNA recombinase assembly involved in reciprocal meiotic recombination
RCV_000009	DNA repair	GO_0000711	meiotic DNA repair synthesis
RCV_000009	DNA repair	GO_0010779	meiotic DNA repair synthesis involved in meiotic gene conversion
RCV_000009	DNA repair	GO_0010778	meiotic DNA repair synthesis involved in reciprocal meiotic recombination
RCV_000009	DNA repair	GO_0000710	meiotic mismatch repair
RCV_000009	DNA repair	GO_0010776	meiotic mismatch repair involved in meiotic gene conversion
RCV_000009	DNA repair	GO_0010777	meiotic mismatch repair involved in reciprocal meiotic recombination
RCV_000009	DNA repair	GO_0007146	meiotic recombination nodule assembly
RCV_000009	DNA repair	GO_1902346	meiotic strand displacement involved in double-strand break repair via SDSA
RCV_000009	DNA repair	GO_0000700	mismatch base pair DNA N-glycosylase activity
RCV_000009	DNA repair	GO_0006298	mismatch repair
RCV_000009	DNA repair	GO_0032300	mismatch repair complex
RCV_000009	DNA repair	GO_0070716	mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication
RCV_000009	DNA repair	GO_0043504	mitochondrial DNA repair
RCV_000009	DNA repair	GO_0097551	mitochondrial double-strand break repair
RCV_000009	DNA repair	GO_0097552	mitochondrial double-strand break repair via homologous recombination
RCV_000009	DNA repair	GO_0045738	negative regulation of DNA repair
RCV_000009	DNA repair	GO_2000780	negative regulation of double-strand break repair
RCV_000009	DNA repair	GO_1901592	negative regulation of double-strand break repair via break-induced replication
RCV_000009	DNA repair	GO_2000042	negative regulation of double-strand break repair via homologous recombination
RCV_000009	DNA repair	GO_2001033	negative regulation of double-strand break repair via nonhomologous end joining
RCV_000009	DNA repair	GO_1901291	negative regulation of double-strand break repair via single-strand annealing
RCV_000009	DNA repair	GO_0032424	negative regulation of mismatch repair
RCV_000009	DNA repair	GO_1903517	negative regulation of single strand break repair
RCV_000009	DNA repair	GO_1903111	negative regulation of single-strand break repair via homologous recombination
RCV_000009	DNA repair	GO_0010213	non-photoreactive DNA repair
RCV_000009	DNA repair	GO_0036299	non-recombinational interstrand cross-link repair
RCV_000009	DNA repair	GO_0000726	non-recombinational repair
RCV_000009	DNA repair	GO_0070419	nonhomologous end joining complex
RCV_000009	DNA repair	GO_1902113	nucleotide phosphorylation involved in DNA repair
RCV_000009	DNA repair	GO_0006289	nucleotide-excision repair
RCV_000009	DNA repair	GO_0000109	nucleotide-excision repair complex
RCV_000009	DNA repair	GO_0000110	nucleotide-excision repair factor 1 complex
RCV_000009	DNA repair	GO_0000111	nucleotide-excision repair factor 2 complex
RCV_000009	DNA repair	GO_0000112	nucleotide-excision repair factor 3 complex
RCV_000009	DNA repair	GO_0000113	nucleotide-excision repair factor 4 complex
RCV_000009	DNA repair	GO_1901255	nucleotide-excision repair involved in interstrand cross-link repair
RCV_000009	DNA repair	GO_0000715	nucleotide-excision repair, DNA damage recognition
RCV_000009	DNA repair	GO_0000718	nucleotide-excision repair, DNA damage removal
RCV_000009	DNA repair	GO_0000717	nucleotide-excision repair, DNA duplex unwinding
RCV_000009	DNA repair	GO_0006297	nucleotide-excision repair, DNA gap filling
RCV_000009	DNA repair	GO_0033683	nucleotide-excision repair, DNA incision
RCV_000009	DNA repair	GO_0006295	nucleotide-excision repair, DNA incision, 3'-to lesion
RCV_000009	DNA repair	GO_0006296	nucleotide-excision repair, DNA incision, 5'-to lesion
RCV_000009	DNA repair	GO_0006294	nucleotide-excision repair, preincision complex assembly
RCV_000009	DNA repair	GO_0006293	nucleotide-excision repair, preincision complex stabilization
RCV_000009	DNA repair	GO_0000702	oxidized base lesion DNA N-glycosylase activity
RCV_000009	DNA repair	GO_0000719	photoreactive repair
RCV_000009	DNA repair	GO_0045739	positive regulation of DNA repair
RCV_000009	DNA repair	GO_1900404	positive regulation of DNA repair by positive regulation of transcription from RNA polymerase II promoter
RCV_000009	DNA repair	GO_2000781	positive regulation of double-strand break repair
RCV_000009	DNA repair	GO_2001034	positive regulation of double-strand break repair via nonhomologous end joining
RCV_000009	DNA repair	GO_0032425	positive regulation of mismatch repair
RCV_000009	DNA repair	GO_1903518	positive regulation of single strand break repair
RCV_000009	DNA repair	GO_1903112	positive regulation of single-strand break repair via homologous recombination
RCV_000009	DNA repair	GO_0006301	postreplication repair
RCV_000009	DNA repair	GO_0000701	purine-specific mismatch base pair DNA N-glycosylase activity
RCV_000009	DNA repair	GO_0006290	pyrimidine dimer repair
RCV_000009	DNA repair	GO_0000720	pyrimidine dimer repair by nucleotide-excision repair
RCV_000009	DNA repair	GO_0036298	recombinational interstrand cross-link repair
RCV_000009	DNA repair	GO_0000725	recombinational repair
RCV_000009	DNA repair	GO_0046799	recruitment of helicase-primase complex to DNA lesions
RCV_000009	DNA repair	GO_0006282	regulation of DNA repair
RCV_000009	DNA repair	GO_2000779	regulation of double-strand break repair
RCV_000009	DNA repair	GO_1901591	regulation of double-strand break repair via break-induced replication
RCV_000009	DNA repair	GO_0010569	regulation of double-strand break repair via homologous recombination
RCV_000009	DNA repair	GO_2001032	regulation of double-strand break repair via nonhomologous end joining
RCV_000009	DNA repair	GO_0032423	regulation of mismatch repair
RCV_000009	DNA repair	GO_2000819	regulation of nucleotide-excision repair
RCV_000009	DNA repair	GO_1903516	regulation of single strand break repair
RCV_000009	DNA repair	GO_1903110	regulation of single-strand break repair via homologous recombination
RCV_000009	DNA repair	GO_0090262	regulation of transcription-coupled nucleotide-excision repair
RCV_000009	DNA repair	GO_0000735	removal of nonhomologous ends
RCV_000009	DNA repair	GO_1990414	replication-born double-strand break repair via sister chromatid exchange
RCV_000009	DNA repair	GO_1990516	ribonucleotide excision repair
RCV_000009	DNA repair	GO_0000012	single strand break repair
RCV_000009	DNA repair	GO_1990396	single-strand break repair via homologous recombination
RCV_000009	DNA repair	GO_0000732	strand displacement
RCV_000009	DNA repair	GO_0006283	transcription-coupled nucleotide-excision repair
RCV_000009	DNA repair	GO_0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition
RCV_000009	DNA repair	GO_0019985	translesion synthesis
RCV_000009	DNA repair	GO_0046787	viral DNA repair
RCV_000010	DNA replication	GO_0042023	DNA endoreduplication
RCV_000010	DNA replication	GO_0003896	DNA primase activity
RCV_000010	DNA replication	GO_0006260	DNA replication
RCV_000010	DNA replication	GO_0000076	DNA replication checkpoint
RCV_000010	DNA replication	GO_0006270	DNA replication initiation
RCV_000010	DNA replication	GO_0061487	DNA replication initiation from late origin
RCV_000010	DNA replication	GO_0071163	DNA replication preinitiation complex assembly
RCV_000010	DNA replication	GO_0045004	DNA replication proofreading
RCV_000010	DNA replication	GO_0006274	DNA replication termination
RCV_000010	DNA replication	GO_0033567	DNA replication, Okazaki fragment processing
RCV_000010	DNA replication	GO_0043137	DNA replication, removal of RNA primer
RCV_000010	DNA replication	GO_0006269	DNA replication, synthesis of RNA primer
RCV_000010	DNA replication	GO_0006335	DNA replication-dependent nucleosome assembly
RCV_000010	DNA replication	GO_0034725	DNA replication-dependent nucleosome disassembly
RCV_000010	DNA replication	GO_0034723	DNA replication-dependent nucleosome organization
RCV_000010	DNA replication	GO_0006336	DNA replication-independent nucleosome assembly
RCV_000010	DNA replication	GO_0034726	DNA replication-independent nucleosome disassembly
RCV_000010	DNA replication	GO_0034724	DNA replication-independent nucleosome organization
RCV_000010	DNA replication	GO_0009307	DNA restriction-modification system
RCV_000010	DNA replication	GO_0044098	DNA secretion by the type IV secretion system
RCV_000010	DNA replication	GO_0022616	DNA strand elongation
RCV_000010	DNA replication	GO_0006271	DNA strand elongation involved in DNA replication
RCV_000010	DNA replication	GO_1902331	DNA strand elongation involved in bacterial-type DNA replication
RCV_000010	DNA replication	GO_1902296	DNA strand elongation involved in cell cycle DNA replication
RCV_000010	DNA replication	GO_1902982	DNA strand elongation involved in meiotic DNA replication
RCV_000010	DNA replication	GO_1902983	DNA strand elongation involved in mitotic DNA replication
RCV_000010	DNA replication	GO_1902319	DNA strand elongation involved in nuclear cell cycle DNA replication
RCV_000010	DNA replication	GO_0061306	DNA strand renaturation involved in double-strand break repair
RCV_000010	DNA replication	GO_0000731	DNA synthesis involved in DNA repair
RCV_000010	DNA replication	GO_0090592	DNA synthesis involved in DNA replication
RCV_000010	DNA replication	GO_0043150	DNA synthesis involved in double-strand break repair via homologous recombination
RCV_000010	DNA replication	GO_0043151	DNA synthesis involved in double-strand break repair via single-strand annealing
RCV_000010	DNA replication	GO_0006268	DNA unwinding involved in DNA replication
RCV_000010	DNA replication	GO_0006261	DNA-dependent DNA replication
RCV_000010	DNA replication	GO_0051104	DNA-dependent DNA replication DNA ligation
RCV_000010	DNA replication	GO_0045005	DNA-dependent DNA replication maintenance of fidelity
RCV_000010	DNA replication	GO_0071919	G-quadruplex DNA formation
RCV_000010	DNA replication	GO_0000811	GINS complex
RCV_000010	DNA replication	GO_0071165	GINS complex assembly
RCV_000010	DNA replication	GO_1903461	Okazaki fragment processing involved in mitotic DNA replication
RCV_000010	DNA replication	GO_0006278	RNA-dependent DNA replication
RCV_000010	DNA replication	GO_0003964	RNA-directed DNA polymerase activity
RCV_000010	DNA replication	GO_0044787	bacterial-type DNA replication
RCV_000010	DNA replication	GO_1902332	bacterial-type DNA replication DNA duplex unwinding
RCV_000010	DNA replication	GO_1902327	bacterial-type DNA replication DNA ligation
RCV_000010	DNA replication	GO_1902328	bacterial-type DNA replication initiation
RCV_000010	DNA replication	GO_1902329	bacterial-type DNA replication termination
RCV_000010	DNA replication	GO_0039686	bidirectional double-stranded viral DNA replication
RCV_000010	DNA replication	GO_0044786	cell cycle DNA replication
RCV_000010	DNA replication	GO_1902291	cell cycle DNA replication DNA ligation
RCV_000010	DNA replication	GO_1902297	cell cycle DNA replication DNA unwinding
RCV_000010	DNA replication	GO_1902292	cell cycle DNA replication initiation
RCV_000010	DNA replication	GO_1902298	cell cycle DNA replication maintenance of fidelity
RCV_000010	DNA replication	GO_1902294	cell cycle DNA replication termination
RCV_000010	DNA replication	GO_0071946	cis-acting DNA replication termination
RCV_000010	DNA replication	GO_0000809	cytoplasmic origin of replication recognition complex
RCV_000010	DNA replication	GO_0061500	gene conversion at mating-type locus, termination of copy-synthesis
RCV_000010	DNA replication	GO_1990426	homologous recombination-dependent replication fork processing
RCV_000010	DNA replication	GO_0072691	initiation of premeiotic DNA replication
RCV_000010	DNA replication	GO_0006273	lagging strand elongation
RCV_000010	DNA replication	GO_0006272	leading strand elongation
RCV_000010	DNA replication	GO_1902968	meiotic DNA replication
RCV_000010	DNA replication	GO_1902970	meiotic DNA replication DNA duplex unwinding
RCV_000010	DNA replication	GO_1902972	meiotic DNA replication DNA ligation
RCV_000010	DNA replication	GO_1902974	meiotic DNA replication initiation
RCV_000010	DNA replication	GO_1902976	meiotic DNA replication preinitiation complex assembly
RCV_000010	DNA replication	GO_1902978	meiotic DNA replication termination
RCV_000010	DNA replication	GO_1902989	meiotic telomere maintenance via semi-conservative replication
RCV_000010	DNA replication	GO_0070716	mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication
RCV_000010	DNA replication	GO_0006264	mitochondrial DNA replication
RCV_000010	DNA replication	GO_1902969	mitotic DNA replication
RCV_000010	DNA replication	GO_1902971	mitotic DNA replication DNA duplex unwinding
RCV_000010	DNA replication	GO_1902973	mitotic DNA replication DNA ligation
RCV_000010	DNA replication	GO_1902975	mitotic DNA replication initiation
RCV_000010	DNA replication	GO_1903459	mitotic DNA replication lagging strand elongation
RCV_000010	DNA replication	GO_1903460	mitotic DNA replication leading strand elongation
RCV_000010	DNA replication	GO_1990505	mitotic DNA replication maintenance of fidelity
RCV_000010	DNA replication	GO_1902977	mitotic DNA replication preinitiation complex assembly
RCV_000010	DNA replication	GO_1902979	mitotic DNA replication termination
RCV_000010	DNA replication	GO_1990506	mitotic DNA-dependent DNA replication
RCV_000010	DNA replication	GO_1902985	mitotic pre-replicative complex assembly
RCV_000010	DNA replication	GO_1903211	mitotic recombination involved in replication fork processing
RCV_000010	DNA replication	GO_1902990	mitotic telomere maintenance via semi-conservative replication
RCV_000010	DNA replication	GO_0032876	negative regulation of DNA endoreduplication
RCV_000010	DNA replication	GO_0008156	negative regulation of DNA replication
RCV_000010	DNA replication	GO_0060910	negative regulation of DNA replication initiation involved in plasmid copy number maintenance
RCV_000010	DNA replication	GO_2000104	negative regulation of DNA-dependent DNA replication
RCV_000010	DNA replication	GO_0032297	negative regulation of DNA-dependent DNA replication initiation
RCV_000010	DNA replication	GO_1900263	negative regulation of DNA-directed DNA polymerase activity
RCV_000010	DNA replication	GO_0090298	negative regulation of mitochondrial DNA replication
RCV_000010	DNA replication	GO_1903467	negative regulation of mitotic DNA replication initiation
RCV_000010	DNA replication	GO_1903464	negative regulation of mitotic cell cycle DNA replication
RCV_000010	DNA replication	GO_1902576	negative regulation of nuclear cell cycle DNA replication
RCV_000010	DNA replication	GO_1900269	negative regulation of reverse transcription
RCV_000010	DNA replication	GO_0051974	negative regulation of telomerase activity
RCV_000010	DNA replication	GO_0032214	negative regulation of telomere maintenance via semi-conservative replication
RCV_000010	DNA replication	GO_0032211	negative regulation of telomere maintenance via telomerase
RCV_000010	DNA replication	GO_0033260	nuclear DNA replication
RCV_000010	DNA replication	GO_1902320	nuclear DNA replication DNA duplex unwinding
RCV_000010	DNA replication	GO_1902333	nuclear DNA replication DNA ligation
RCV_000010	DNA replication	GO_1902317	nuclear DNA replication termination
RCV_000010	DNA replication	GO_1902315	nuclear cell cycle DNA replication initiation
RCV_000010	DNA replication	GO_0000808	origin recognition complex
RCV_000010	DNA replication	GO_0033259	plastid DNA replication
RCV_000010	DNA replication	GO_0032877	positive regulation of DNA endoreduplication
RCV_000010	DNA replication	GO_0045740	positive regulation of DNA replication
RCV_000010	DNA replication	GO_1903468	positive regulation of DNA replication initiation
RCV_000010	DNA replication	GO_2000105	positive regulation of DNA-dependent DNA replication
RCV_000010	DNA replication	GO_0032298	positive regulation of DNA-dependent DNA replication initiation
RCV_000010	DNA replication	GO_1900264	positive regulation of DNA-directed DNA polymerase activity
RCV_000010	DNA replication	GO_0090297	positive regulation of mitochondrial DNA replication
RCV_000010	DNA replication	GO_1903465	positive regulation of mitotic cell cycle DNA replication
RCV_000010	DNA replication	GO_0010571	positive regulation of nuclear cell cycle DNA replication
RCV_000010	DNA replication	GO_1900270	positive regulation of reverse transcription
RCV_000010	DNA replication	GO_0051973	positive regulation of telomerase activity
RCV_000010	DNA replication	GO_0032215	positive regulation of telomere maintenance via semi-conservative replication
RCV_000010	DNA replication	GO_0032212	positive regulation of telomere maintenance via telomerase
RCV_000010	DNA replication	GO_0036388	pre-replicative complex assembly
RCV_000010	DNA replication	GO_0036390	pre-replicative complex assembly involved in bacterial-type DNA replication
RCV_000010	DNA replication	GO_1902299	pre-replicative complex assembly involved in cell cycle DNA replication
RCV_000010	DNA replication	GO_1902984	pre-replicative complex assembly involved in meiotic DNA replication
RCV_000010	DNA replication	GO_0006267	pre-replicative complex assembly involved in nuclear cell cycle DNA replication
RCV_000010	DNA replication	GO_0006279	premeiotic DNA replication
RCV_000010	DNA replication	GO_0032875	regulation of DNA endoreduplication
RCV_000010	DNA replication	GO_0006275	regulation of DNA replication
RCV_000010	DNA replication	GO_0060909	regulation of DNA replication initiation involved in plasmid copy number maintenance
RCV_000010	DNA replication	GO_2000621	regulation of DNA replication termination
RCV_000010	DNA replication	GO_0060382	regulation of DNA strand elongation
RCV_000010	DNA replication	GO_0090329	regulation of DNA-dependent DNA replication
RCV_000010	DNA replication	GO_0030174	regulation of DNA-dependent DNA replication initiation
RCV_000010	DNA replication	GO_1900262	regulation of DNA-directed DNA polymerase activity
RCV_000010	DNA replication	GO_0032784	regulation of DNA-templated transcription, elongation
RCV_000010	DNA replication	GO_0090296	regulation of mitochondrial DNA replication
RCV_000010	DNA replication	GO_1903466	regulation of mitotic DNA replication initiation
RCV_000010	DNA replication	GO_1903463	regulation of mitotic cell cycle DNA replication
RCV_000010	DNA replication	GO_1903221	regulation of mitotic recombination involved in replication fork processing
RCV_000010	DNA replication	GO_0033262	regulation of nuclear cell cycle DNA replication
RCV_000010	DNA replication	GO_1902681	regulation of replication fork arrest at rDNA repeats
RCV_000010	DNA replication	GO_1900268	regulation of reverse transcription
RCV_000010	DNA replication	GO_0051972	regulation of telomerase activity
RCV_000010	DNA replication	GO_0032213	regulation of telomere maintenance via semi-conservative replication
RCV_000010	DNA replication	GO_0032210	regulation of telomere maintenance via telomerase
RCV_000010	DNA replication	GO_1903469	removal of RNA primer involved in mitotic DNA replication
RCV_000010	DNA replication	GO_0043111	replication fork arrest
RCV_000010	DNA replication	GO_0011000	replication fork arrest at mating type locus
RCV_000010	DNA replication	GO_0031582	replication fork arrest at rDNA repeats
RCV_000010	DNA replication	GO_0090001	replication fork arrest at tRNA locus
RCV_000010	DNA replication	GO_0071807	replication fork arrest involved in DNA replication termination
RCV_000010	DNA replication	GO_0031297	replication fork processing
RCV_000010	DNA replication	GO_0034065	replication fork processing at rDNA locus
RCV_000010	DNA replication	GO_0097046	replication fork progression beyond termination site
RCV_000010	DNA replication	GO_0048478	replication fork protection
RCV_000010	DNA replication	GO_0071932	replication fork reversal
RCV_000010	DNA replication	GO_0001326	replication of extrachromosomal circular DNA
RCV_000010	DNA replication	GO_0001314	replication of extrachromosomal circular DNA involved in replicative cell aging
RCV_000010	DNA replication	GO_0001312	replication of extrachromosomal rDNA circles involved in replicative cell aging
RCV_000010	DNA replication	GO_0001171	reverse transcription
RCV_000010	DNA replication	GO_0032199	reverse transcription involved in RNA-mediated transposition
RCV_000010	DNA replication	GO_1990516	ribonucleotide excision repair
RCV_000010	DNA replication	GO_0070581	rolling circle DNA replication
RCV_000010	DNA replication	GO_0039683	rolling circle double-stranded viral DNA replication
RCV_000010	DNA replication	GO_0039684	rolling circle single-stranded viral DNA replication
RCV_000010	DNA replication	GO_0039682	rolling circle viral DNA replication
RCV_000010	DNA replication	GO_0039685	rolling hairpin viral DNA replication
RCV_000010	DNA replication	GO_0072428	signal transduction involved in intra-S DNA damage checkpoint
RCV_000010	DNA replication	GO_0071170	site-specific DNA replication termination
RCV_000010	DNA replication	GO_0071171	site-specific DNA replication termination at RTS1 barrier
RCV_000010	DNA replication	GO_1902330	synthesis of RNA primer involved in bacterial-type DNA replication
RCV_000010	DNA replication	GO_1902295	synthesis of RNA primer involved in cell cycle DNA replication
RCV_000010	DNA replication	GO_1902980	synthesis of RNA primer involved in meiotic DNA replication
RCV_000010	DNA replication	GO_1902981	synthesis of RNA primer involved in mitotic DNA replication
RCV_000010	DNA replication	GO_1902318	synthesis of RNA primer involved in nuclear cell cycle DNA replication
RCV_000010	DNA replication	GO_0003720	telomerase activity
RCV_000010	DNA replication	GO_0010521	telomerase inhibitor activity
RCV_000010	DNA replication	GO_0032201	telomere maintenance via semi-conservative replication
RCV_000010	DNA replication	GO_0007004	telomere maintenance via telomerase
RCV_000010	DNA replication	GO_0003721	telomeric template RNA reverse transcriptase activity
RCV_000010	DNA replication	GO_0000332	template for synthesis of G-rich strand of telomere DNA activity
RCV_000010	DNA replication	GO_0070582	theta DNA replication
RCV_000010	DNA replication	GO_0039693	viral DNA genome replication
RCV_000010	DNA replication	GO_0039687	viral DNA strand displacement replication
RCV_000010	DNA replication	GO_0039688	viral double stranded DNA replication via reverse transcription
RCV_000013	DNA synthesis	GO_0006277	DNA amplification
RCV_000013	DNA synthesis	GO_0071897	DNA biosynthetic process
RCV_000013	DNA synthesis	GO_0034061	DNA polymerase activity
RCV_000013	DNA synthesis	GO_0000731	DNA synthesis involved in DNA repair
