GO_SLIM	DESCRIPTION
nitric oxide metabolism	nitric oxide metabolism
nitrogen metabolism	nitrogen metabolism
noradrenergic	noradrenergic
nuclear events	nuclear events
nucleotide binding process	nucleotide binding process
olfactory	olfactory
olfactory system development	olfactory system development
oocyte	oocyte
oogenesis	oogenesis
optic nerve development	optic nerve development
organ development	organ development
organic acid metabolism	organic acid metabolism
ovary	ovary
oxidative metabolism	oxidative metabolism
oxidative stress	oxidative stress
oxidoreductase activity	oxidoreductase activity
pancreas B cells	pancreas B cells
pancreas development	pancreas development
pancreas endocrine	pancreas endocrine
pancreas exocrine	pancreas exocrine
pancreatic A cell	pancreatic A cell
pancreatic D cell	pancreatic D cell
pancreatic E cell	pancreatic E cell
pancreatic PP cell	pancreatic PP cell
pancreatic stellate cell	pancreatic stellate cell
peptide metabolism	peptide metabolism
peroxisome	peroxisome
phosphatase activity 	phosphatase activity 
photoreceptor	photoreceptor
plant	plant
plant metabolism	plant metabolism
plasma membrane dynamics	plasma membrane dynamics
platelet	platelet
post-translational	post-translational
protein degradation	protein degradation
protein folding	protein folding
protein localization	protein localization
protein metabolism	protein metabolism
protein modification	protein modification
protein secretion	protein secretion
protein splicing	protein splicing
protein transport	protein transport
purine metabolism	purine metabolism
pyrimidine metabolism	pyrimidine metabolism
reproduction	reproduction
respiration	respiration
retina development	retina development
salt stress response	salt stress response
secretion	secretion
sex	sex
sex determination	sex determination
sex female	sex female
sex male	sex male
skeletal muscle	skeletal muscle
skin	skin
smooth muscle	smooth muscle
smoothened signaling pathway	smoothened signaling pathway
snRNA	snRNA
snoRNA	snoRNA
somatostatin	somatostatin
sphingolipid metabolic process	sphingolipid metabolic process
spinal cord	spinal cord
spleen development	spleen development
stellate cell	stellate cell
stem cell	stem cell
steroid metabolic process	steroid metabolic process
sterol metabolic process	sterol metabolic process
stomach	stomach
striated muscle	striated muscle
succinyl-CoA pathway	succinyl-CoA pathway
sugar metabolism	sugar metabolism
symbiosis	symbiosis
synapse	synapse
syncytium formation	syncytium formation
taxis	taxis
telomere	telomere
terpenoid	terpenoid
thiamin metabolism	thiamin metabolism
thymine metabolism	thymine metabolism
thymus	thymus
thyroid	thyroid
toluene metabolism	toluene metabolism
trachea	trachea
transcription	transcription
transepithelial transport	transepithelial transport
transferase activity	transferase activity
translation	translation
triglyceride	triglyceride
ubiquitin	ubiquitin
unicellular growth	unicellular growth
unicellular organism	unicellular organism
urea metabolism	urea metabolism
ureter	ureter
uterus	uterus
vacuole	vacuole
vascular	vascular
vasoconstriction	vasoconstriction
vasodilation	vasodilation
vescicle dynamics	vescicle dynamics
vessel	vessel
vessel development	vessel development
virus	virus
vitamin A	vitamin A
vitamin C	vitamin C
vitamin D	vitamin D
vitamin K	vitamin K
vitamin metabolism	vitamin metabolism
wound healing	wound healing
xenobiotic	xenobiotic
yeast	yeast
zinc ion homeostasis	zinc ion homeostasis
