Roche CV	GO term name	GO term ID	
Wnt pathway	regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation	GO:2000079
Wnt pathway	regulation of canonical Wnt signaling pathway involved in neural crest cell differentiation	GO:0072335
Wnt pathway	regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation	GO:0060827
Wnt pathway	regulation of cell adhesion involved in heart morphogenesis by non-canonical Wnt signaling pathway	GO:0061342
Wnt pathway	regulation of hair cycle by canonical Wnt signaling pathway	GO:0060901
Wnt pathway	regulation of heart induction by regulation of canonical Wnt signaling pathway	GO:0090081
Wnt pathway	regulation of non-canonical Wnt signaling pathway	GO:2000050
Wnt pathway	regulation of non-canonical Wnt signaling pathway via JNK cascade	GO:1901229
vitamin metabolism	biotin carboxyl carrier protein biosynthetic process	GO:0042966
vitamin metabolism	biotin catabolic process	GO:0042367
vitamin metabolism	biotin metabolic process	GO:0006768
vitamin metabolism	biotin transport	GO:0015878
vitamin K	vitamin K biosynthetic process	GO:0042371
vitamin K	vitamin K catabolic process	GO:0042377
vitamin K	vitamin K metabolic process	GO:0042373
vitamin D	vitamin D biosynthetic process	GO:0042368
vitamin D	vitamin D catabolic process	GO:0042369
vitamin D	vitamin D metabolic process	GO:0042359
vitamin D	vitamin D receptor signaling pathway	GO:0070561
vitamin D	vitamin D2 metabolic process	GO:0070639
vitamin D	vitamin D3 metabolic process	GO:0070640
vitamin D	vitamin D4 metabolic process	GO:0070641
vitamin D	vitamin D5 metabolic process	GO:0070642
vitamin C	ascorbate stabilization	GO:0000044
vitamin A	vitamin A biosynthetic process	GO:0035238
vitamin A	vitamin A import	GO:0071939
vitamin A	vitamin A metabolic process	GO:0006776
vitamin A	vitamin A transport	GO:0071938
virus	catabolism by virus of host DNA	GO:0039637
virus	caveolin-mediated endocytosis of virus by host cell	GO:0075513
virus	clathrin-mediated endocytosis of virus by host cell	GO:0075512
virus	cleavage by virus of host mRNA	GO:0039599
virus	coreceptor-mediated virion attachment to host cell	GO:0046814
virus	cytolysis by virus of host cell	GO:0044659
virus	cytolysis by virus via pore formation in host cell membrane	GO:0044660
virus	cytolysis by virus via suppression of host peptidoglycan biosynthetic process	GO:0039640
virus	cytoplasmic pattern recognition receptor signaling pathway in response to virus	GO:0039528
virus	defense response to virus	GO:0051607
virus	detection of virus	GO:0009597
virus	disruption by virus of host cell	GO:0044661
virus	disruption by virus of host cell membrane	GO:0044662
virus	early viral transcription	GO:0019085
virus	endocytosis involved in viral entry into host cell	GO:0075509
virus	endosome lysis involved in viral entry into host cell	GO:0075514
virus	endosome membrane permeabilization involved in viral entry into host cell	GO:0075502
virus	entry of intact viral capsid into host nucleus through nuclear pore complex	GO:0075505
virus	entry of viral genome into host nucleus through nuclear pore complex via importin	GO:0075506
virus	entry of viral genome into host nucleus via docking of viral capsid to the nuclear pore complex and injection of viral genome	GO:0075507
virus	entry of viral genome into host nucleus via retainment of capsid in nuclear pore complex and release of genome into nucleoplasm	GO:0075508
virus	establishment of integrated proviral latency	GO:0075713
virus	establishment of viral latency	GO:0019043
virus	evasion or tolerance of host defenses by virus	GO:0019049
virus	exit of virus from host cell nucleus by nuclear egress	GO:0046802
virus	fusion of virus membrane with host macropinosome membrane	GO:0075503
virus	fusion of virus membrane with host plasma membrane	GO:0019064
virus	genome retention in viral capsid	GO:0046815
virus	immortalization of host cell by virus	GO:0019088
virus	induction by virus of catabolism of host mRNA	GO:0039595
virus	induction by virus of host apoptotic process	GO:0019051
virus	induction by virus of host autophagy	GO:0039520
virus	induction by virus of host cell-cell fusion	GO:0006948
virus	induction by virus of host endonucleolytic cleavage-dependent mRNA catabolic process	GO:0039600
virus	induction by virus of host endoribonuclease activity	GO:0039597
virus	induction by virus of host nuclear polyadenylation-dependent mRNA catabolic process	GO:0039598
virus	induction by virus of host protein phosphorylation	GO:0039614
virus	initiation of viral infection	GO:0019059
virus	intracellular transport of viral protein in host cell	GO:0019060
virus	intracellular transport of virus	GO:0075733
virus	late viral transcription	GO:0019086
virus	latent virus replication	GO:0019045
virus	lytic vacuole organization	GO:0080171
virus	lytic viral budding	GO:0019078
virus	lytic viral life cycle	GO:0030068
virus	lytic virus budding from ER membrane	GO:0046757
virus	lytic virus budding from Golgi membrane	GO:0046758
virus	lytic virus budding from plasma membrane	GO:0046759
virus	macropinocytosis involved in viral entry into host cell	GO:0075510
virus	macropinosomal membrane permeabilization involved in viral entry into host cell	GO:0075504
virus	macropinosome lysis involved in viral entry into host cell	GO:0075511
virus	maintenance of viral latency	GO:0019044
virus	microtubule-dependent intracellular transport of viral material	GO:0075519
virus	microtubule-dependent intracellular transport of viral material towards nucleus	GO:0075521
virus	modification by virus of host mRNA processing	GO:0046778
virus	modification by virus of host polysomes	GO:0046783
virus	modulation by host of viral transcription	GO:0043921
virus	modulation by virus of host PP1 activity	GO:0039586
virus	modulation by virus of host apoptotic process	GO:0039526
virus	modulation by virus of host autophagy	GO:0039519
virus	modulation by virus of host catalytic activity	GO:0039516
virus	modulation by virus of host chromatin organization	GO:0039525
virus	modulation by virus of host molecular function	GO:0039506
virus	modulation by virus of host morphology or physiology	GO:0019048
virus	modulation by virus of host process	GO:0019054
virus	modulation by virus of host protein dephosphorylation	GO:0039596
virus	modulation by virus of host protein phosphorylation	GO:0039612
virus	modulation by virus of host transcription	GO:0019056
virus	modulation by virus of host translation	GO:0019057
virus	negative regulation by host of viral transcription	GO:0043922
virus	negative regulation of defense response to virus	GO:0050687
virus	negative regulation of defense response to virus by host	GO:0050689
virus	negative regulation of intracellular transport of viral material	GO:1901253
virus	negative regulation of single stranded viral RNA replication via double stranded DNA intermediate	GO:0045869
virus	negative regulation of spread of virus in host, cell to cell	GO:1900202
virus	negative regulation of viral entry into host cell	GO:0046597
virus	negative regulation of viral genome replication	GO:0045071
virus	negative regulation of viral process	GO:0048525
virus	negative regulation of viral protein levels in host cell	GO:0046725
virus	negative regulation of viral transcription	GO:0032897
virus	negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	GO:0039532
virus	non-lytic viral release	GO:0046753
virus	pore-mediated entry of viral genome into host cell	GO:0044694
virus	positive regulation of apoptotic process by virus	GO:0060139
virus	positive regulation of defense response to virus by host	GO:0002230
virus	positive regulation of intracellular transport of viral material	GO:1901254
virus	positive regulation of single stranded viral RNA replication via double stranded DNA intermediate	GO:0045870
virus	positive regulation of spread of virus in host, cell to cell	GO:1900203
virus	positive regulation of syncytium formation by virus	GO:0060141
virus	positive regulation of viral entry into host cell	GO:0046598
virus	positive regulation of viral genome replication	GO:0045070
virus	positive regulation of viral process	GO:0048524
virus	positive regulation of viral protein levels in host cell	GO:0046726
virus	positive regulation of viral transcription	GO:0050434
virus	proteolysis by virus of host translation initiation factor	GO:0039607
virus	provirus excision	GO:0032359
virus	receptor-mediated endocytosis of virus by host cell	GO:0019065
virus	receptor-mediated virion attachment to host cell	GO:0046813
virus	regulation by virus of viral protein levels in host cell	GO:0046719
virus	regulation of intracellular transport of viral material	GO:1901252
virus	regulation of single stranded viral RNA replication via double stranded DNA intermediate	GO:0045091
virus	regulation of spread of virus in host, cell to cell	GO:1900201
virus	regulation of viral entry into host cell	GO:0046596
virus	regulation of viral genome replication	GO:0045069
virus	regulation of viral process	GO:0050792
virus	regulation of viral transcription	GO:0046782
virus	regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	GO:0039531
virus	release from viral latency	GO:0019046
virus	response to virus	GO:0009615
virus	retrotransposon nucleocapsid	GO:0000943
virus	sigma virus replication	GO:0008167
virus	suppression by virus of G2/M transition of host mitotic cell cycle	GO:0039592
virus	suppression by virus of expression of host genes with introns	GO:0046779
virus	suppression by virus of host ATP-dependent RNA helicase activity	GO:0039510
virus	suppression by virus of host IRF3 activity	GO:0039548
virus	suppression by virus of host IRF3 activity by inhibition of DNA binding	GO:0039550
virus	suppression by virus of host IRF3 activity by inhibition of IRF3 phosphorylation	GO:0039549
virus	suppression by virus of host IRF3 activity by positive regulation of IRF3 catabolic process	GO:0039551
virus	suppression by virus of host IRF7 activity	GO:0039557
virus	suppression by virus of host IRF7 activity by positive regulation of IRF7 catabolic process	GO:0039559
virus	suppression by virus of host IRF7 activity by positive regulation of IRF7 sumoylation	GO:0039558
virus	suppression by virus of host IRF9 activity	GO:0039560
virus	suppression by virus of host IRF9 activity by positive regulation of IRF9 localization to nucleus	GO:0039561
virus	suppression by virus of host ISG15 activity	GO:0039579
virus	suppression by virus of host JAK-STAT cascade	GO:0039514
virus	suppression by virus of host JAK1 activity	GO:0039576
virus	suppression by virus of host JAK1 activity by negative regulation of JAK1 phosphorylation	GO:0039577
virus	suppression by virus of host JAK1 activity via JAK1 binding	GO:0039578
virus	suppression by virus of host MAVS activity	GO:0039545
virus	suppression by virus of host MAVS activity by MAVS proteolysis	GO:0039546
virus	suppression by virus of host MDA-5 activity	GO:0039554
virus	suppression by virus of host MDA-5 activity via MDA-5 binding	GO:0039555
virus	suppression by virus of host MDA-5 signaling pathway	GO:0039539
virus	suppression by virus of host PKR activity	GO:0039580
virus	suppression by virus of host PKR activity by positive regulation of PKR catabolic process	GO:0039583
virus	suppression by virus of host PKR activity by positive regulation of PKR nuclear localization	GO:0039582
virus	suppression by virus of host PKR activity via double-stranded RNA binding	GO:0039581
virus	suppression by virus of host RIG-I K63-linked ubiquitination	GO:0039542
virus	suppression by virus of host RIG-I activity	GO:0039540
virus	suppression by virus of host RIG-I activity by RIG-I proteolysis	GO:0039544
virus	suppression by virus of host RIG-I activity by viral RNA 5' processing	GO:0039543
virus	suppression by virus of host RIG-I signaling pathway	GO:0039538
virus	suppression by virus of host RIG-I via RIG-I binding	GO:0039541
virus	suppression by virus of host RNA polymerase II activity	GO:0039523
virus	suppression by virus of host STAT activity	GO:0039562
virus	suppression by virus of host STAT1 activity	GO:0039563
virus	suppression by virus of host STAT1 activity by inhibition of DNA binding	GO:0039568
virus	suppression by virus of host STAT1 activity by negative regulation of STAT protein import into nucleus	GO:0039567
virus	suppression by virus of host STAT1 activity by negative regulation of STAT1 tyrosine phosphorylation	GO:0039571
virus	suppression by virus of host STAT1 activity by positive regulation of STAT1 catabolic process	GO:0039565
virus	suppression by virus of host STAT1 activity by tyrosine dephosphorylation of STAT1	GO:0039566
virus	suppression by virus of host STAT2 activity	GO:0039564
virus	suppression by virus of host STAT2 activity by negative regulation of STAT protein import into nucleus	GO:0039570
virus	suppression by virus of host STAT2 activity by negative regulation of STAT2 tyrosine phosphorylation	GO:0039572
virus	suppression by virus of host STAT2 activity by positive regulation of STAT2 catabolic process	GO:0039569
virus	suppression by virus of host TRAF activity	GO:0039547
virus	suppression by virus of host TRAF-mediated signal transduction	GO:0039527
virus	suppression by virus of host TYK2 activity	GO:0039574
virus	suppression by virus of host TYK2 activity by negative regulation of TYK2 tyrosine phosphorylation	GO:0039575
virus	suppression by virus of host antigen processing and presentation	GO:0039588
virus	suppression by virus of host antigen processing and presentation of peptide antigen via MHC class I	GO:0046776
virus	suppression by virus of host antigen processing and presentation of peptide antigen via MHC class II	GO:0039505
virus	suppression by virus of host apoptotic process	GO:0019050
virus	suppression by virus of host autophagy	GO:0039521
virus	suppression by virus of host catalytic activity	GO:0039513
virus	suppression by virus of host cell cycle arrest	GO:0046792
virus	suppression by virus of host cell lysis in response to superinfection	GO:0039639
virus	suppression by virus of host cell wall biogenesis	GO:0039636
virus	suppression by virus of host chemokine activity	GO:0039553
virus	suppression by virus of host complement activation	GO:0039573
virus	suppression by virus of host complement neutralization	GO:0046791
virus	suppression by virus of host cytokine activity	GO:0039518
virus	suppression by virus of host cytokine production	GO:0046775
virus	suppression by virus of host exit from mitosis	GO:0039593
virus	suppression by virus of host interferon receptor activity	GO:0039511
virus	suppression by virus of host intracellular interferon activity	GO:0046774
virus	suppression by virus of host mRNA export from nucleus	GO:0039522
virus	suppression by virus of host mRNA processing	GO:0039524
virus	suppression by virus of host mRNA splicing	GO:0046780
virus	suppression by virus of host molecular function	GO:0039507
virus	suppression by virus of host pattern recognition receptor activity	GO:0039509
virus	suppression by virus of host peptidoglycan biosynthetic process	GO:0039635
virus	suppression by virus of host protein kinase activity	GO:0039584
virus	suppression by virus of host protein phosphorylation	GO:0039613
virus	suppression by virus of host protein tyrosine kinase activity	GO:0039512
virus	suppression by virus of host receptor activity	GO:0039508
virus	suppression by virus of host tapasin activity	GO:0039591
virus	suppression by virus of host tetherin activity	GO:0039587
virus	suppression by virus of host transcription initiation from RNA polymerase II promoter	GO:0039602
virus	suppression by virus of host translation	GO:0039604
virus	suppression by virus of host translation initiation	GO:0039606
virus	suppression by virus of host translation initiation factor activity	GO:0039611
virus	suppression by virus of host translation initiation factor activity by induction of host protein dephosphorylation	GO:0039608
virus	suppression by virus of host translation termination	GO:0046773
virus	suppression by virus of host type I interferon production	GO:0039501
virus	suppression by virus of host type I interferon-mediated signaling pathway	GO:0039502
virus	suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway	GO:0039537
virus	transformation of host cell by virus	GO:0019087
virus	translocation of virus into host cell	GO:0019066
virus	transmission of virus	GO:0019089
virus	transport of viral material towards nucleus	GO:0075606
virus	transport of virus	GO:0046794
virus	transport of virus in host, cell to cell	GO:0046740
virus	transport of virus in host, tissue to tissue	GO:0046741
virus	transport of virus in multicellular host	GO:0046739
virus	uncoating of virus	GO:0019061
virus	viral DNA cleavage involved in viral genome maturation	GO:0019071
virus	viral DNA genome packaging	GO:0019073
virus	viral DNA genome packaging via site-specific sequence recognition	GO:0098035
virus	viral DNA genome packaging, 3' extended cos packaging	GO:0098036
virus	viral DNA genome packaging, 5' extended cos packaging	GO:0098037
virus	viral DNA genome packaging, headful	GO:0098006
virus	viral DNA repair	GO:0046787
virus	viral RNA genome packaging	GO:0019074
virus	viral budding	GO:0046755
virus	viral budding from ER membrane	GO:0046762
virus	viral budding from inner nuclear membrane	GO:0046771
virus	viral budding from nuclear membrane	GO:0046765
virus	viral budding from outer nuclear membrane	GO:0046772
virus	viral budding from plasma membrane	GO:0046761
virus	viral capsid assembly	GO:0019069
virus	viral capsid precursor transport to host cell nucleus	GO:0046752
virus	viral capsid secondary envelopment	GO:0046745
virus	viral entry into host cell	GO:0046718
virus	viral entry into host cell via caveolin-mediated endocytosis followed by genetic injection through the endosome membrane	GO:0075515
virus	viral entry into host cell via clathrin-mediated endocytosis followed by genetic injection through the endosome membrane	GO:0075705
virus	viral exocytosis	GO:0046754
virus	viral gene expression	GO:0019080
virus	viral gene silencing in virus induced gene silencing	GO:0060145
virus	viral genome maturation	GO:0019070
virus	viral genome packaging	GO:0019072
virus	viral genome replication	GO:0019079
virus	viral head-tail joining	GO:0098005
virus	viral latency	GO:0019042
virus	viral life cycle	GO:0019058
virus	viral mRNA export from host cell nucleus	GO:0046784
virus	viral penetration into host nucleus	GO:0075732
virus	viral procapsid maturation	GO:0046797
virus	viral process	GO:0016032
virus	viral protein processing	GO:0019082
virus	viral release from host cell	GO:0019076
virus	viral replication	GO:0008166
virus	viral replication complex formation and maintenance	GO:0046786
virus	viral scaffold assembly and maintenance	GO:0046807
virus	viral tail assembly	GO:0098003
virus	viral transcription	GO:0019083
virus	viral translation	GO:0019081
virus	viral transmission by vector	GO:0044009
virus	viral triggering of virus induced gene silencing	GO:0060150
virus	viral-induced premature senescence	GO:0090401
virus	virion assembly	GO:0019068
virus	virion attachment to host cell	GO:0019062
virus	virulence	GO:0009406
virus	virus baseplate assembly	GO:0098045
virus	virus induced gene silencing	GO:0009616
virus	virus maturation	GO:0019075
virus	virus tail fiber assembly	GO:0098004
virus	virus-infected cell apoptotic process	GO:0006926
vessel development	glomerular capillary formation	GO:0072104
vessel development	glomerulus vasculature development	GO:0072012
vessel development	glomerulus vasculature morphogenesis	GO:0072103
vessel development	mesonephric glomerular capillary formation	GO:0061249
vessel development	metanephric glomerular capillary formation	GO:0072277
vessel	blood vessel development	GO:0001568
vessel	blood vessel lumenization	GO:0072554
vessel	blood vessel maturation	GO:0001955
vessel	blood vessel morphogenesis	GO:0048514
vessel	blood vessel remodeling	GO:0001974
vessel	envenomation resulting in blood vessel extracellular matrix damage, causing hemorrhagic damage in other organism	GO:0044482
vessel	labyrinthine layer blood vessel development	GO:0060716
vessel	negative regulation of blood vessel morphogenesis	GO:2000181
vessel	negative regulation of blood vessel remodeling	GO:0060313
vessel	negative regulation of testicular blood vessel morphogenesis	GO:0061369
vessel	patterning of blood vessels	GO:0001569
vessel	placenta blood vessel development	GO:0060674
vessel	positive regulation of blood vessel remodeling	GO:2000504
vessel	regulation of blood vessel remodeling	GO:0060312
vessel	regulation of blood vessel size	GO:0050880
vessel	regulation of blood vessel size by renin-angiotensin	GO:0002034
vessel	renal artery morphogenesis	GO:0061441
vessel	renal system vasculature development	GO:0061437
vessel	renal system vasculature morphogenesis	GO:0061438
vessel	retinal blood vessel morphogenesis	GO:0061304
vessel	venous blood vessel development	GO:0060841
vessel	venous blood vessel morphogenesis	GO:0048845
vescicle dynamics	vesicle coating	GO:0006901
vescicle dynamics	vesicle docking	GO:0048278
vescicle dynamics	vesicle docking involved in exocytosis	GO:0006904
vescicle dynamics	vesicle fusion	GO:0006906
vescicle dynamics	vesicle fusion with Golgi apparatus	GO:0048280
vescicle dynamics	vesicle fusion with endoplasmic reticulum	GO:0048279
vescicle dynamics	vesicle fusion with nuclear membrane involved in mitotic nuclear envelope reassembly	GO:0007086
vescicle dynamics	vesicle fusion with peroxisome	GO:0019817
vescicle dynamics	vesicle fusion with vacuole	GO:0051469
vescicle dynamics	vesicle localization	GO:0051648
vescicle dynamics	vesicle organization	GO:0016050
vescicle dynamics	vesicle targeting	GO:0005482
vescicle dynamics	vesicle targeting to fusome	GO:0045479
vescicle dynamics	vesicle targeting, cis-Golgi to rough ER	GO:0048206
vescicle dynamics	vesicle targeting, inter-Golgi cisterna	GO:0048204
vescicle dynamics	vesicle targeting, plasma membrane to endosome	GO:0048201
vescicle dynamics	vesicle targeting, rough ER to cis-Golgi	GO:0048207
vescicle dynamics	vesicle targeting, to, from or within Golgi	GO:0048199
vescicle dynamics	vesicle targeting, trans-Golgi to endosome	GO:0048203
vescicle dynamics	vesicle transport	GO:0006905
vescicle dynamics	vesicle transport along actin filament	GO:0030050
vescicle dynamics	vesicle transport along microtubule	GO:0047496
vescicle dynamics	vesicle uncoating	GO:0072319
vescicle dynamics	vesicle-mediated cholesterol transport	GO:0090119
vescicle dynamics	vesicle-mediated transport	GO:0016192
vescicle dynamics	vesicle-mediated transport involved in floral organ abscission	GO:0060858
VEGF pathway	VEGF-activated platelet-derived growth factor receptor signaling pathway	GO:0038086
VEGF pathway	VEGF-activated platelet-derived growth factor receptor-alpha signaling pathway	GO:0038087
VEGF pathway	VEGF-activated platelet-derived growth factor receptor-beta signaling pathway	GO:0038088
vasodilation	vasodilation	GO:0042311
vasodilation	vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure	GO:0003069
vasodilation	vasodilation by angiotensin involved in regulation of systemic arterial blood pressure	GO:0002033
vasodilation	vasodilation by norepinephrine-epinephrine involved in regulation of systemic arterial blood pressure	GO:0002025
vasodilation	vasodilation involved in acute inflammatory response	GO:0002527
