RCV_ID	RCV_NAME	GO_ID	GO_NAME	STATUS
RCV_000001	B cells	GO_0001926	positive regulation of B-1 B cell differentiation	1
RCV_000001	B cells	GO_0002916	positive regulation of central B cell anergy	1
RCV_000001	B cells	GO_0002900	positive regulation of central B cell deletion	1
RCV_000001	B cells	GO_0002897	positive regulation of central B cell tolerance induction	1
RCV_000001	B cells	GO_0002907	positive regulation of mature B cell apoptotic process	1
RCV_000001	B cells	GO_0002919	positive regulation of peripheral B cell anergy	1
RCV_000001	B cells	GO_0002910	positive regulation of peripheral B cell deletion	1
RCV_000001	B cells	GO_2000975	positive regulation of pro-B cell differentiation	1
RCV_000001	B cells	GO_0002331	pre-B cell allelic exclusion	1
RCV_000001	B cells	GO_0002329	pre-B cell differentiation	1
RCV_000001	B cells	GO_0002330	pre-B cell receptor expression	1
RCV_000001	B cells	GO_0002328	pro-B cell differentiation	1
RCV_000001	B cells	GO_0050864	regulation of B cell activation	1
RCV_000001	B cells	GO_0002670	regulation of B cell anergy	1
RCV_000001	B cells	GO_0002622	regulation of B cell antigen processing and presentation	1
RCV_000001	B cells	GO_0002902	regulation of B cell apoptotic process	1
RCV_000001	B cells	GO_0002721	regulation of B cell cytokine production	1
RCV_000001	B cells	GO_0002867	regulation of B cell deletion	1
RCV_000001	B cells	GO_0045577	regulation of B cell differentiation	1
RCV_000001	B cells	GO_0002712	regulation of B cell mediated immunity	1
RCV_000001	B cells	GO_0030888	regulation of B cell proliferation	1
RCV_000001	B cells	GO_0050855	regulation of B cell receptor signaling pathway	1
RCV_000001	B cells	GO_0002661	regulation of B cell tolerance induction	1
RCV_000001	B cells	GO_0001924	regulation of B-1 B cell differentiation	1
RCV_000001	B cells	GO_0002914	regulation of central B cell anergy	1
RCV_000001	B cells	GO_0002898	regulation of central B cell deletion	1
RCV_000001	B cells	GO_0002895	regulation of central B cell tolerance induction	1
RCV_000001	B cells	GO_0002905	regulation of mature B cell apoptotic process	1
RCV_000001	B cells	GO_0002917	regulation of peripheral B cell anergy	1
RCV_000001	B cells	GO_0002908	regulation of peripheral B cell deletion	1
RCV_000001	B cells	GO_2000973	regulation of pro-B cell differentiation	1
RCV_000001	B cells	GO_0002333	transitional one stage B cell differentiation	1
RCV_000001	B cells	GO_0002332	transitional stage B cell differentiation	1
RCV_000001	B cells	GO_0002334	transitional two stage B cell differentiation	1
RCV_000002	BDNF pathway	GO_0031547	brain-derived neurotrophic factor receptor signaling pathway	1
RCV_000002	BDNF pathway	GO_0031549	negative regulation of brain-derived neurotrophic factor receptor signaling pathway	1
RCV_000002	BDNF pathway	GO_0031552	negative regulation of brain-derived neurotrophic factor-activated receptor activity	1
RCV_000002	BDNF pathway	GO_0031550	positive regulation of brain-derived neurotrophic factor receptor signaling pathway	1
RCV_000002	BDNF pathway	GO_0031553	positive regulation of brain-derived neurotrophic factor-activated receptor activity	1
RCV_000002	BDNF pathway	GO_0031548	regulation of brain-derived neurotrophic factor receptor signaling pathway	1
RCV_000002	BDNF pathway	GO_0031551	regulation of brain-derived neurotrophic factor-activated receptor activity	1
RCV_000003	BMP pathway	GO_0070700	BMP receptor binding	1
RCV_000003	BMP pathway	GO_0038055	BMP secretion	1
RCV_000003	BMP pathway	GO_0030509	BMP signaling pathway	1
RCV_000003	BMP pathway	GO_0061353	BMP signaling pathway involved in Malpighian tubule cell chemotaxis	1
RCV_000003	BMP pathway	GO_0003155	BMP signaling pathway involved in determination of lateral mesoderm left/right asymmetry	1
RCV_000003	BMP pathway	GO_0003154	BMP signaling pathway involved in determination of left/right symmetry	1
RCV_000003	BMP pathway	GO_0022024	BMP signaling pathway involved in forebrain neuron fate commitment	1
RCV_000003	BMP pathway	GO_0003434	BMP signaling pathway involved in growth plate cartilage chondrocyte development	1
RCV_000003	BMP pathway	GO_0061312	BMP signaling pathway involved in heart development	1
RCV_000003	BMP pathway	GO_0003130	BMP signaling pathway involved in heart induction	1
RCV_000003	BMP pathway	GO_0003303	BMP signaling pathway involved in heart jogging	1
RCV_000003	BMP pathway	GO_0060803	BMP signaling pathway involved in mesodermal cell fate specification	1
RCV_000003	BMP pathway	GO_0071893	BMP signaling pathway involved in nephric duct formation	1
RCV_000003	BMP pathway	GO_0003269	BMP signaling pathway involved in regulation of secondary heart field cardioblast proliferation	1
RCV_000003	BMP pathway	GO_0061151	BMP signaling pathway involved in renal system segmentation	1
RCV_000003	BMP pathway	GO_0021777	BMP signaling pathway involved in spinal cord association neuron specification	1
RCV_000003	BMP pathway	GO_0021919	BMP signaling pathway involved in spinal cord dorsal/ventral patterning	1
RCV_000003	BMP pathway	GO_0061149	BMP signaling pathway involved in ureter morphogenesis	1
RCV_000003	BMP pathway	GO_0071773	cellular response to BMP stimulus	1
RCV_000003	BMP pathway	GO_2001285	negative regulation of BMP secretion	1
RCV_000003	BMP pathway	GO_0030514	negative regulation of BMP signaling pathway	1
RCV_000003	BMP pathway	GO_0038056	negative regulation of BMP signaling pathway by negative regulation of BMP secretion	1
RCV_000003	BMP pathway	GO_0072097	negative regulation of branch elongation involved in ureteric bud branching by BMP signaling pathway	1
RCV_000003	BMP pathway	GO_1900144	positive regulation of BMP secretion	1
RCV_000003	BMP pathway	GO_0030513	positive regulation of BMP signaling pathway	1
RCV_000003	BMP pathway	GO_2001284	regulation of BMP secretion	1
RCV_000003	BMP pathway	GO_0030510	regulation of BMP signaling pathway	1
RCV_000003	BMP pathway	GO_2000223	regulation of BMP signaling pathway involved in heart jogging	1
RCV_000003	BMP pathway	GO_0060902	regulation of hair cycle by BMP signaling pathway	1
RCV_000003	BMP pathway	GO_0071772	response to BMP	1
RCV_000003	BMP pathway	GO_0038098	sequestering of BMP from receptor via BMP binding	1
RCV_000003	BMP pathway	GO_0035582	sequestering of BMP in extracellular matrix	1
RCV_000003	BMP pathway	GO_0072101	specification of ureteric bud anterior/posterior symmetry by BMP signaling pathway	1
RCV_000004	CTGF	GO_0045420	regulation of connective tissue growth factor biosynthetic process	1
RCV_000004	CTGF	GO_0032643	regulation of connective tissue growth factor production	1
RCV_000005	DNA binding process	GO_0001013	RNA polymerase I regulatory region DNA binding	1
RCV_000005	DNA binding process	GO_0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0000979	RNA polymerase II core promoter sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0000980	RNA polymerase II distal enhancer sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0001012	RNA polymerase II regulatory region DNA binding	1
RCV_000005	DNA binding process	GO_0000977	RNA polymerase II regulatory region sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0001037	RNA polymerase III hybrid type promoter DNA binding	1
RCV_000005	DNA binding process	GO_0001039	RNA polymerase III hybrid type promoter sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0001016	RNA polymerase III regulatory region DNA binding	1
RCV_000005	DNA binding process	GO_0001030	RNA polymerase III type 1 promoter DNA binding	1
RCV_000005	DNA binding process	GO_0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0001031	RNA polymerase III type 2 promoter DNA binding	1
RCV_000005	DNA binding process	GO_0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0001032	RNA polymerase III type 3 promoter DNA binding	1
RCV_000005	DNA binding process	GO_0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0000403	Y-form DNA binding	1
RCV_000005	DNA binding process	GO_0000986	bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0000985	bacterial-type RNA polymerase core promoter sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0001017	bacterial-type RNA polymerase regulatory region DNA binding	1
RCV_000005	DNA binding process	GO_0000984	bacterial-type RNA polymerase regulatory region sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0000405	bubble DNA binding	1
RCV_000005	DNA binding process	GO_0001047	core promoter binding	1
RCV_000005	DNA binding process	GO_0000987	core promoter proximal region sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0001046	core promoter sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0000402	crossed form four-way junction DNA binding	1
RCV_000005	DNA binding process	GO_0000406	double-strand/single-strand DNA junction binding	1
RCV_000005	DNA binding process	GO_0000400	four-way junction DNA binding	1
RCV_000005	DNA binding process	GO_0000404	heteroduplex DNA loop binding	1
RCV_000005	DNA binding process	GO_0001045	mitochondrial RNA polymerase core promoter proximal region sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0001018	mitochondrial RNA polymerase regulatory region DNA binding	1
RCV_000005	DNA binding process	GO_0001044	mitochondrial RNA polymerase regulatory region sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0000401	open form four-way junction DNA binding	1
RCV_000005	DNA binding process	GO_0001019	plastid RNA polymerase regulatory region DNA binding	1
RCV_000005	DNA binding process	GO_0000992	polymerase III regulatory region sequence-specific DNA binding	1
RCV_000005	DNA binding process	GO_0000182	rDNA binding	1
RCV_000005	DNA binding process	GO_0000975	regulatory region DNA binding	1
RCV_000005	DNA binding process	GO_0001067	regulatory region nucleic acid binding	1
RCV_000005	DNA binding process	GO_0000976	transcription regulatory region sequence-specific DNA binding	1
RCV_000006	DNA damage	GO_0000077	DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0006975	DNA damage induced protein phosphorylation	1
RCV_000006	DNA damage	GO_0042769	"DNA damage response, detection of DNA damage"	1
RCV_000006	DNA damage	GO_0030330	"DNA damage response, signal transduction by p53 class mediator"	1
RCV_000006	DNA damage	GO_0006977	"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"	1
RCV_000006	DNA damage	GO_0006978	"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"	1
RCV_000006	DNA damage	GO_0042772	"DNA damage response, signal transduction resulting in transcription"	1
RCV_000006	DNA damage	GO_0044783	G1 DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0006974	cellular response to DNA damage stimulus	1
RCV_000006	DNA damage	GO_0072421	detection of DNA damage stimulus involved in DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0072424	detection of DNA damage stimulus involved in G2 DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0072427	detection of DNA damage stimulus involved in intra-S DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0072430	detection of DNA damage stimulus involved in mitotic G1 DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0072433	detection of DNA damage stimulus involved in mitotic G2 DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0031573	intra-S DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0008630	intrinsic apoptotic signaling pathway in response to DNA damage	1
RCV_000006	DNA damage	GO_0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1
RCV_000006	DNA damage	GO_2000002	negative regulation of DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0043518	"negative regulation of DNA damage response, signal transduction by p53 class mediator"	1
RCV_000006	DNA damage	GO_2001021	negative regulation of response to DNA damage stimulus	1
RCV_000006	DNA damage	GO_0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	1
RCV_000006	DNA damage	GO_2000003	positive regulation of DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0043517	"positive regulation of DNA damage response, signal transduction by p53 class mediator"	1
RCV_000006	DNA damage	GO_2001022	positive regulation of response to DNA damage stimulus	1
RCV_000006	DNA damage	GO_2000001	regulation of DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0043516	"regulation of DNA damage response, signal transduction by p53 class mediator"	1
RCV_000006	DNA damage	GO_2000873	regulation of histone H4 acetylation involved in response to DNA damage stimulus	1
RCV_000006	DNA damage	GO_2001020	regulation of response to DNA damage stimulus	1
RCV_000006	DNA damage	GO_0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	1
RCV_000006	DNA damage	GO_0072423	response to DNA damage checkpoint signaling	1
RCV_000006	DNA damage	GO_0072432	response to G1 DNA damage checkpoint signaling	1
RCV_000006	DNA damage	GO_0072426	response to G2 DNA damage checkpoint signaling	1
RCV_000006	DNA damage	GO_0072429	response to intra-S DNA damage checkpoint signaling	1
RCV_000006	DNA damage	GO_0072435	response to mitotic G2 DNA damage checkpoint signaling	1
RCV_000006	DNA damage	GO_0023039	signal initiation by physical damage	1
RCV_000006	DNA damage	GO_0042770	signal transduction in response to DNA damage	1
RCV_000006	DNA damage	GO_0072422	signal transduction involved in DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0072425	signal transduction involved in G2 DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0072428	signal transduction involved in intra-S DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0072431	signal transduction involved in mitotic G1 DNA damage checkpoint	1
RCV_000006	DNA damage	GO_0072434	signal transduction involved in mitotic G2 DNA damage checkpoint	1
RCV_000007	DNA dynamics	GO_0034080	CENP-A containing nucleosome assembly	1
RCV_000007	DNA dynamics	GO_0030592	DNA ADP-ribosylation	1
RCV_000007	DNA dynamics	GO_0006305	DNA alkylation	1
RCV_000007	DNA dynamics	GO_0006277	DNA amplification	1
RCV_000007	DNA dynamics	GO_0071897	DNA biosynthetic process	1
RCV_000007	DNA dynamics	GO_0006308	DNA catabolic process	1
RCV_000007	DNA dynamics	GO_0000737	"DNA catabolic process, endonucleolytic"	1
RCV_000007	DNA dynamics	GO_0000738	"DNA catabolic process, exonucleolytic"	1
RCV_000007	DNA dynamics	GO_0071103	DNA conformation change	1
RCV_000007	DNA dynamics	GO_0070383	DNA cytosine deamination	1
RCV_000007	DNA dynamics	GO_0035510	DNA dealkylation	1
RCV_000007	DNA dynamics	GO_0006307	DNA dealkylation involved in DNA repair	1
RCV_000007	DNA dynamics	GO_0045006	DNA deamination	1
RCV_000007	DNA dynamics	GO_0080111	DNA demethylation	1
RCV_000007	DNA dynamics	GO_0000729	DNA double-strand break processing	1
RCV_000007	DNA dynamics	GO_0010792	DNA double-strand break processing involved in repair via single-strand annealing	1
RCV_000007	DNA dynamics	GO_0010791	DNA double-strand break processing involved in repair via synthesis-dependent strand annealing	1
RCV_000007	DNA dynamics	GO_0032508	DNA duplex unwinding	1
RCV_000007	DNA dynamics	GO_0042023	DNA endoreduplication	1
RCV_000007	DNA dynamics	GO_0044349	DNA excision	1
RCV_000007	DNA dynamics	GO_0032392	DNA geometric change	1
RCV_000007	DNA dynamics	GO_0044026	DNA hypermethylation	1
RCV_000007	DNA dynamics	GO_0044028	DNA hypomethylation	1
RCV_000007	DNA dynamics	GO_0009290	DNA import into cell involved in transformation	1
RCV_000007	DNA dynamics	GO_0015074	DNA integration	1
RCV_000007	DNA dynamics	GO_0031570	DNA integrity checkpoint	1
RCV_000007	DNA dynamics	GO_0006266	DNA ligation	1
RCV_000007	DNA dynamics	GO_0051102	DNA ligation involved in DNA recombination	1
RCV_000007	DNA dynamics	GO_0051103	DNA ligation involved in DNA repair	1
RCV_000007	DNA dynamics	GO_0051104	DNA ligation involved in DNA-dependent DNA replication	1
RCV_000007	DNA dynamics	GO_0009294	DNA mediated transformation	1
RCV_000007	DNA dynamics	GO_0006259	DNA metabolic process	1
RCV_000007	DNA dynamics	GO_0006306	DNA methylation	1
RCV_000007	DNA dynamics	GO_0043045	DNA methylation involved in embryo development	1
RCV_000007	DNA dynamics	GO_0043046	DNA methylation involved in gamete generation	1
RCV_000007	DNA dynamics	GO_0032775	DNA methylation on adenine	1
RCV_000007	DNA dynamics	GO_0032776	DNA methylation on cytosine	1
RCV_000007	DNA dynamics	GO_0010424	DNA methylation on cytosine within a CG sequence	1
RCV_000007	DNA dynamics	GO_0010426	DNA methylation on cytosine within a CHH sequence	1
RCV_000007	DNA dynamics	GO_0010425	DNA methylation on cytosine within a CNG sequence	1
RCV_000007	DNA dynamics	GO_0006304	DNA modification	1
RCV_000007	DNA dynamics	GO_0006323	DNA packaging	1
RCV_000007	DNA dynamics	GO_0042262	DNA protection	1
RCV_000007	DNA dynamics	GO_0000730	DNA recombinase assembly	1
RCV_000007	DNA dynamics	GO_0034624	DNA recombinase assembly involved in gene conversion at mating-type locus	1
RCV_000007	DNA dynamics	GO_0006310	DNA recombination	1
RCV_000007	DNA dynamics	GO_0006281	DNA repair	1
RCV_000007	DNA dynamics	GO_0036292	DNA rewinding	1
RCV_000007	DNA dynamics	GO_0000733	DNA strand renaturation	1
RCV_000007	DNA dynamics	GO_0006265	DNA topological change	1
RCV_000007	DNA dynamics	GO_0051027	DNA transport	1
RCV_000007	DNA dynamics	GO_0006268	DNA unwinding involved in DNA replication	1
RCV_000007	DNA dynamics	GO_0051215	DNA virus induced gene silencing	1
RCV_000007	DNA dynamics	GO_0000417	HIR complex	1
RCV_000007	DNA dynamics	GO_0000812	Swr1 complex	1
RCV_000007	DNA dynamics	GO_0097240	attachment of chromatin to nuclear envelope	1
RCV_000007	DNA dynamics	GO_0006326	bent DNA binding	1
RCV_000007	DNA dynamics	GO_0000801	central element	1
RCV_000007	DNA dynamics	GO_0000785	chromatin	1
RCV_000007	DNA dynamics	GO_0031497	chromatin assembly	1
RCV_000007	DNA dynamics	GO_0006333	chromatin assembly or disassembly	1
RCV_000007	DNA dynamics	GO_0031498	chromatin disassembly	1
RCV_000007	DNA dynamics	GO_0006341	chromatin insulator sequence binding	1
RCV_000007	DNA dynamics	GO_0070827	chromatin maintenance	1
RCV_000007	DNA dynamics	GO_0016568	chromatin modification	1
RCV_000007	DNA dynamics	GO_0006325	chromatin organization	1
RCV_000007	DNA dynamics	GO_0006338	chromatin remodeling	1
RCV_000007	DNA dynamics	GO_0031055	chromatin remodeling at centromere	1
RCV_000007	DNA dynamics	GO_0043156	chromatin remodeling in response to cation stress	1
RCV_000007	DNA dynamics	GO_0006342	chromatin silencing	1
RCV_000007	DNA dynamics	GO_0030702	chromatin silencing at centromere	1
RCV_000007	DNA dynamics	GO_0072692	chromatin silencing at centromere central core	1
RCV_000007	DNA dynamics	GO_0000183	chromatin silencing at rDNA	1
RCV_000007	DNA dynamics	GO_0030466	chromatin silencing at silent mating-type cassette	1
RCV_000007	DNA dynamics	GO_0006348	chromatin silencing at telomere	1
RCV_000007	DNA dynamics	GO_0031048	chromatin silencing by small RNA	1
RCV_000007	DNA dynamics	GO_0031052	chromosome breakage	1
RCV_000007	DNA dynamics	GO_0030261	chromosome condensation	1
RCV_000007	DNA dynamics	GO_0051312	chromosome decondensation	1
RCV_000007	DNA dynamics	GO_0050000	chromosome localization	1
RCV_000007	DNA dynamics	GO_0090220	chromosome localization to nuclear envelope involved in synapsis	1
RCV_000007	DNA dynamics	GO_0051276	chromosome organization	1
RCV_000007	DNA dynamics	GO_0070192	chromosome organization involved in meiosis	1
RCV_000007	DNA dynamics	GO_0072356	chromosome passenger complex localization to kinetochore	1
RCV_000007	DNA dynamics	GO_0035853	chromosome passenger complex localization to spindle midzone	1
RCV_000007	DNA dynamics	GO_0007059	chromosome segregation	1
RCV_000007	DNA dynamics	GO_0051304	chromosome separation	1
RCV_000007	DNA dynamics	GO_0000775	"chromosome, centromeric region"	1
RCV_000007	DNA dynamics	GO_0000781	"chromosome, telomeric region"	1
RCV_000007	DNA dynamics	GO_0000793	condensed chromosome	1
RCV_000007	DNA dynamics	GO_0000777	condensed chromosome kinetochore	1
RCV_000007	DNA dynamics	GO_0000779	"condensed chromosome, centromeric region"	1
RCV_000007	DNA dynamics	GO_0000794	condensed nuclear chromosome	1
RCV_000007	DNA dynamics	GO_0000778	condensed nuclear chromosome kinetochore	1
RCV_000007	DNA dynamics	GO_0000780	"condensed nuclear chromosome, centromeric region"	1
RCV_000007	DNA dynamics	GO_0000796	condensin complex	1
RCV_000007	DNA dynamics	GO_0000797	condensin core heterodimer	1
RCV_000007	DNA dynamics	GO_0000789	cytoplasmic chromatin	1
RCV_000007	DNA dynamics	GO_0000787	cytoplasmic nucleosome	1
RCV_000007	DNA dynamics	GO_0035390	establishment of chromatin silencing at telomere	1
RCV_000007	DNA dynamics	GO_0070200	establishment of protein localization to telomere	1
RCV_000007	DNA dynamics	GO_0000791	euchromatin	1
RCV_000007	DNA dynamics	GO_0001325	formation of extrachromosomal circular DNA	1
RCV_000007	DNA dynamics	GO_0000728	"gene conversion at mating-type locus, DNA double-strand break formation"	1
RCV_000007	DNA dynamics	GO_0031292	"gene conversion at mating-type locus, DNA double-strand break processing"	1
RCV_000007	DNA dynamics	GO_0000792	heterochromatin	1
RCV_000007	DNA dynamics	GO_0031507	heterochromatin assembly	1
RCV_000007	DNA dynamics	GO_0070869	heterochromatin assembly involved in chromatin silencing	1
RCV_000007	DNA dynamics	GO_0070924	heterochromatin assembly involved in chromatin silencing by small RNA	1
RCV_000007	DNA dynamics	GO_0000123	histone acetyltransferase complex	1
RCV_000007	DNA dynamics	GO_0035512	hydrolytic DNA demethylation	1
RCV_000007	DNA dynamics	GO_0000776	kinetochore	1
RCV_000007	DNA dynamics	GO_0000800	lateral element	1
RCV_000007	DNA dynamics	GO_0010216	maintenance of DNA methylation	1
RCV_000007	DNA dynamics	GO_0043570	maintenance of DNA repeat elements	1
RCV_000007	DNA dynamics	GO_0035753	maintenance of DNA trinucleotide repeats	1
RCV_000007	DNA dynamics	GO_0035392	maintenance of chromatin silencing at telomere	1
RCV_000007	DNA dynamics	GO_0048239	negative regulation of DNA recombination at telomere	1
RCV_000007	DNA dynamics	GO_0045798	negative regulation of chromatin assembly or disassembly	1
RCV_000007	DNA dynamics	GO_0035562	negative regulation of chromatin binding	1
RCV_000007	DNA dynamics	GO_0031936	negative regulation of chromatin silencing	1
RCV_000007	DNA dynamics	GO_0061188	negative regulation of chromatin silencing at rDNA	1
